source_csv_row,study_id,es_id,offspring_sex,measurement_variable,crosscheck_status,crosscheck_package,crosscheck_notes,c_se_reported,c_se_analysis,c_se_derivation,c_se_source,ex_se_reported,ex_se_analysis,ex_se_derivation,ex_se_source
79,abramova_2021_front,es078,female,Center entries (crossing),Corrected transcription,6 – Abramova 2021 same-sex controls,Use the females control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (center_num). | Recalculate the control SD from the same-sex author raw subgroup (center_num). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,0.52682,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,0.465485,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
80,abramova_2021_front,es079,male,Center entries (crossing),Corrected transcription,6 – Abramova 2021 same-sex controls,Use the males control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (center_num). | Recalculate the control SD from the same-sex author raw subgroup (center_num). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,0.298217,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,0.547654,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
81,abramova_2021_front,es080,female,Time in central square,Corrected transcription,6 – Abramova 2021 same-sex controls,"Use the females control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (center_totalTime). | Recalculate the control SD from the same-sex author raw subgroup (center_totalTime). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook. | The author raw variable center_totalTime is a duration, not a count. | Open-field durations are recorded in seconds.",,1.425754,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,1.174379,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
82,abramova_2021_front,es081,male,Time in central square,Corrected transcription,6 – Abramova 2021 same-sex controls,"Use the males control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (center_totalTime). | Recalculate the control SD from the same-sex author raw subgroup (center_totalTime). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook. | The author raw variable center_totalTime is a duration, not a count. | Open-field durations are recorded in seconds.",,0.678013,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,0.516777,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
83,abramova_2021_front,es082,female,Grooming frequency,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the females control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (grum_number). | Recalculate the control SD from the same-sex author raw subgroup (grum_number). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,0.305475,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,0.408819,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
84,abramova_2021_front,es083,male,Grooming frequency,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the males control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (grum_number). | Recalculate the control SD from the same-sex author raw subgroup (grum_number). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,0.333067,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,0.41222,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
85,abramova_2021_front,es084,female,Total grooming time,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the females control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (grum_totalTime). | Recalculate the control SD from the same-sex author raw subgroup (grum_totalTime). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,2.738595,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,5.66432,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
86,abramova_2021_front,es085,male,Total grooming time,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the males control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (grum_totalTime). | Recalculate the control SD from the same-sex author raw subgroup (grum_totalTime). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,5.017053,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,4.076942,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
87,abramova_2021_front,es086,female,Total freezing time,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the females control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (freez_totalTime). | Recalculate the control SD from the same-sex author raw subgroup (freez_totalTime). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,8.700763,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,12.35351,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
88,abramova_2021_front,es087,male,Total freezing time,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the males control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (freez_totalTime). | Recalculate the control SD from the same-sex author raw subgroup (freez_totalTime). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,7.327604,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,13.077469,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
89,badache_2017_stress,es088,male,Time in corners,Verified – no change,,,11.76,11.76,Reported SEM; used unchanged for analysis,badache_2017_stress_5a; Figure 5a,12.97,12.97,Reported SEM; used unchanged for analysis,badache_2017_stress_5a; Figure 5a
90,badache_2017_stress,es089,male,Sections crossed,Verified – no change,,,4.04,4.04,Reported SEM; used unchanged for analysis,badache_2017_stress_5b; Figure 5b,2.23,2.23,Reported SEM; used unchanged for analysis,badache_2017_stress_5b; Figure 5b
91,badache_2017_stress,es090,male,Time in central square,Verified – no change,,,0.23,0.23,Reported SEM; used unchanged for analysis,badache_2017_stress_5c; Figure 5c,0.07,0.07,Reported SEM; used unchanged for analysis,badache_2017_stress_5c; Figure 5c
92,badache_2017_stress,es091,male,Rearing time,Verified – no change,,,1.26,1.26,Reported SEM; used unchanged for analysis,badache_2017_stress_5d; Figure 5d,0.48,0.48,Reported SEM; used unchanged for analysis,badache_2017_stress_5d; Figure 5d
93,badache_2017_stress,es092,male,Time in open arms (OAT),Verified – no change,,,7.96,7.96,Reported SEM; used unchanged for analysis,badache_2017_stress_6a; Figure 6a,3.67,3.67,Reported SEM; used unchanged for analysis,badache_2017_stress_6a; Figure 6a
94,badache_2017_stress,es093,male,Rearing time,Verified – no change,,,1.13,1.13,Reported SEM; used unchanged for analysis,badache_2017_stress_6b; Figure 6b,0.51,0.51,Reported SEM; used unchanged for analysis,badache_2017_stress_6b; Figure 6b
95,whitlow_1978_thesis,es094,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.811483,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.887174,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
96,whitlow_1978_thesis,es095,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.811483,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.74458,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
97,whitlow_1978_thesis,es096,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.409617,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.46288,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
98,whitlow_1978_thesis,es097,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.409617,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.357986,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
99,whitlow_1978_thesis,es098,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.930853,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.156226,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
100,whitlow_1978_thesis,es099,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.930853,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.887316,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
101,whitlow_1978_thesis,es100,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.473286,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.429012,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
102,whitlow_1978_thesis,es101,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.473286,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.430577,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
103,whitlow_1978_thesis,es102,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.565233,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.532475,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
104,whitlow_1978_thesis,es103,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.565233,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.490012,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
105,whitlow_1978_thesis,es104,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.43818,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.429526,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
106,whitlow_1978_thesis,es105,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.43818,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.392095,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
107,whitlow_1978_thesis,es106,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.29496,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.344802,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
108,whitlow_1978_thesis,es107,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.29496,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.318014,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
109,whitlow_1978_thesis,es108,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.333174,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.314861,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
110,whitlow_1978_thesis,es109,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.333174,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.302585,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
111,whitlow_1978_thesis,es110,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.238745,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.358688,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
112,whitlow_1978_thesis,es111,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.238745,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.378186,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
113,whitlow_1978_thesis,es112,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.512722,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.887174,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
114,whitlow_1978_thesis,es113,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.512722,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.74458,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
115,whitlow_1978_thesis,es114,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.259689,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.46288,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
116,whitlow_1978_thesis,es115,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,1.259689,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.357986,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
117,whitlow_1978_thesis,es116,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.977743,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,1.156226,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
118,whitlow_1978_thesis,es117,male,Sections crossed,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.977743,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.887316,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
119,whitlow_1978_thesis,es118,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.450143,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.429012,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
120,whitlow_1978_thesis,es119,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.450143,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.430577,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
121,whitlow_1978_thesis,es120,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.419084,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.532475,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
122,whitlow_1978_thesis,es121,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.419084,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.490012,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
123,whitlow_1978_thesis,es122,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.438627,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.429526,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
124,whitlow_1978_thesis,es123,male,Grooming frequency,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.438627,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.392095,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
125,whitlow_1978_thesis,es124,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.345316,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.344802,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
126,whitlow_1978_thesis,es125,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.345316,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.318014,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
127,whitlow_1978_thesis,es126,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.276311,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.314861,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
128,whitlow_1978_thesis,es127,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.276311,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.302585,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
129,whitlow_1978_thesis,es128,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.372484,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.358688,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
130,whitlow_1978_thesis,es129,male,Defecation amount,Corrected derived value,Variance decision – Whitlow 1978,"Variance assumption accepted: SD=sqrt(mean), then SE=SD/sqrt(n).",,0.372484,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,,0.378186,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer
131,abramova_2020_genpath,es130,male,Sections crossed,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,5.948995,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,6.070662,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
132,abramova_2020_genpath,es131,female,Sections crossed,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,6.011893,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,4.86045,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
133,abramova_2020_genpath,es132,male,Rearing frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,2.38249,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,2.53665,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
